task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_value,resp_corr,resp_rt,task_time
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,right,0,0.3249663349881302,325.3021197899943
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,right,0,0.3919801019830629,327.49445597999147
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,right,1,0.2704953600070439,329.5652698939957
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.15438248699065293,331.51997210099944
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.34061219801078546,333.6609043540084
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,right,0,0.23929683100432153,335.70053140301025
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.1437838190060574,337.64480039599584
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.3425347700132988,339.7876544909959
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,right,0,0.16924072399269785,341.75726417900296
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,right,1,0.26077251798706125,343.818530760007
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,left,1,0.6972710550064221,346.31611792900367
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,left,0,0.4288886090100277,348.5453285650001
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,left,1,0.5611669869860634,350.9068263859954
